Time (s),Motor Angle,Force (g),Torque (Nm)
2.3911659717559814,0.02,0.0,0.3193359375
2.431612968444824,0.02,0.0,0.3134765625
2.480400800704956,0.02,0.0,0.31640625
2.5423500537872314,0.02,0.0,0.3076171875
2.581184148788452,-2.25,0.0,0.5654296875
2.631314516067505,-8.44,0.0,0.84375
2.680774211883545,-14.57,0.0,0.9931640625
2.730825662612915,-21.98,0.0,1.0869140625
2.7800889015197754,-27.580000000000002,0.0,1.18359375
2.8352904319763184,-32.82,0.0,1.2890625
2.897216796875,-37.9,0.0,1.3505859375
2.9470696449279785,-40.36,0.0,1.11328125
2.996096134185791,-22.27,0.0,0.2900390625
3.0484113693237305,-5.28,0.0,-0.0234375
3.0986711978912354,-4.88,0.0,0.3046875
3.147883892059326,-6.23,0.0,0.3720703125
3.1976466178894043,-3.7,0.0,0.3046875
3.2480862140655518,-2.58,0.0,0.345703125
3.2974531650543213,-2.09,0.0,0.3427734375
3.3473594188690186,-1.4000000000000001,0.0,0.3544921875
3.400752544403076,-0.73,0.0,0.328125
3.447498321533203,-0.32,0.0,0.3310546875
3.4969255924224854,-0.16,0.0,0.322265625
3.547337055206299,-0.06,0.0,0.328125
3.597200393676758,0.02,0.0,0.328125
3.649221658706665,0.04,0.0,0.31640625
3.695361852645874,0.04,0.0,0.3134765625
3.744666814804077,0.06,0.0,0.3193359375
3.7953710556030273,0.05,0.0,0.310546875
3.844327688217163,0.04,0.0,0.3193359375
3.894434928894043,0.04,0.0,0.310546875
3.944190263748169,0.04,0.0,0.310546875
3.9943461418151855,0.04,0.0,0.3193359375
4.044123888015747,0.04,0.0,0.31640625
4.093694448471069,0.03,0.0,0.3193359375
4.159406661987305,-0.47000000000000003,0.0,0.4013671875
4.193270921707153,-3.12,0.0,0.544921875
4.243971586227417,-6.49,0.0,0.7294921875
4.310137748718262,-11.26,0.0,0.849609375
4.358508110046387,-15.290000000000001,0.0,0.896484375
4.408754110336304,-15.84,0.0,0.755859375
4.462021350860596,-5.5,0.0,0.2724609375
4.5094733238220215,1.09,0.0,0.15234375
4.558995962142944,-0.14,0.0,0.2958984375
4.6131720542907715,-1.02,0.0,0.322265625
4.662071943283081,-0.6,0.0,0.31640625
4.711192607879639,-0.49,0.0,0.3193359375
4.7577385902404785,-0.46,0.0,0.31640625
4.814141273498535,-0.34,0.0,0.333984375
4.858892917633057,-0.15,0.0,0.322265625
4.915397882461548,-0.07,0.0,0.31640625
4.965145826339722,-0.07,0.0,0.322265625
5.0150768756866455,-0.05,0.0,0.31640625
5.066806793212891,-4.8100000000000005,0.0,0.6826171875
5.1079816818237305,-10.88,0.0,0.908203125
5.1664509773254395,-18.5,0.0,1.119140625
5.20745062828064,-26.71,0.0,1.1982421875
5.2564685344696045,-32.82,0.0,1.318359375
5.307090520858765,-38.27,0.0,1.365234375
5.356944799423218,-42.83,0.0,1.4384765625
5.4061291217803955,-46.29,0.0,1.4677734375
5.459683179855347,-49.09,0.0,1.517578125
5.5249693393707275,-52.71,0.0,1.59375
5.571404695510864,-56.26,0.0,1.6552734375
5.621175527572632,-40.34,0.0,0.521484375
5.65500283241272,-14.01,0.0,-0.140625
5.72288703918457,-7.930000000000001,0.0,0.1318359375
5.771748065948486,-10.02,0.0,0.4189453125
5.80585789680481,-7.140000000000001,0.0,0.310546875
5.872178316116333,-3.96,0.0,0.3017578125
5.920297861099243,-3.36,0.0,0.3515625
5.972197532653809,-2.8000000000000003,0.0,0.3515625
6.023521900177002,-1.75,0.0,0.3427734375
6.072039842605591,-0.92,0.0,0.3193359375
6.126023769378662,-0.42,0.0,0.3310546875
6.170390605926514,-0.18,0.0,0.3251953125
6.227276086807251,-0.01,0.0,0.3251953125
6.271417140960693,0.06,0.0,0.3251953125
6.329877138137817,0.06,0.0,0.3134765625
6.371394872665405,0.05,0.0,0.3251953125
6.426990747451782,0.04,0.0,0.3134765625
6.471020936965942,0.04,0.0,0.3251953125
6.531723976135254,0.04,0.0,0.3193359375
6.5734477043151855,0.04,0.0,0.310546875
6.6350789070129395,0.04,0.0,0.31640625
6.669523239135742,-5.13,0.0,0.7177734375
6.719946384429932,-13.06,0.0,1.0078125
6.76896595954895,-21.98,0.0,1.1513671875
6.819617748260498,-28.98,0.0,1.265625
6.86916708946228,-35.660000000000004,0.0,1.3681640625
6.93619179725647,-41.7,0.0,1.4619140625
6.985134124755859,-47.83,0.0,1.5908203125
7.019092321395874,-53.660000000000004,0.0,1.6640625
7.087745904922485,-58.980000000000004,0.0,1.7607421875
7.135682582855225,-63.43,0.0,1.79296875
7.185049533843994,-58.77,0.0,0.97265625
7.235785961151123,-28.76,0.0,0.0380859375
7.288508176803589,-10.85,0.0,-0.0087890625
7.335135459899902,-11.01,0.0,0.3310546875
7.385437488555908,-10.26,0.0,0.3779296875
7.438284873962402,-5.88,0.0,0.287109375
7.4853880405426025,-3.87,0.0,0.298828125
7.535114526748657,-3.48,0.0,0.3515625
7.584513902664185,-2.65,0.0,0.3486328125
7.6383209228515625,-1.6300000000000001,0.0,0.345703125
7.684196472167969,-0.81,0.0,0.333984375
7.73929500579834,-0.35000000000000003,0.0,0.322265625
7.789644956588745,-0.18,0.0,0.3251953125
7.833849191665649,-0.09,0.0,0.31640625
7.89278769493103,-0.03,0.0,0.322265625
7.933404445648193,-0.02,0.0,0.3310546875
7.990091800689697,-0.02,0.0,0.3310546875
8.033149003982544,0.0,0.0,0.3251953125
8.091408729553223,0.01,0.0,0.3193359375
8.134332656860352,0.01,0.0,0.310546875
8.195077657699585,0.01,0.0,0.31640625
8.232743978500366,0.01,0.0,0.3310546875
8.282862663269043,0.01,0.0,0.31640625
8.347975969314575,0.01,0.0,0.3251953125
8.39761233329773,0.01,0.0,0.3193359375
8.43576955795288,0.01,0.0,0.31640625
8.49824857711792,0.01,0.0,0.31640625
8.548195600509644,0.01,0.0,0.310546875
8.59712553024292,0.01,0.0,0.31640625
8.647182941436768,0.01,0.0,0.31640625
8.699010848999023,0.01,0.0,0.3251953125
8.748936653137207,0.02,0.0,0.328125
8.798109292984009,0.01,0.0,0.31640625
8.848180532455444,0.01,0.0,0.3134765625
8.898299932479858,0.01,0.0,0.3251953125
8.94803261756897,0.01,0.0,0.322265625
8.99831485748291,0.01,0.0,0.31640625
9.048878192901611,0.01,0.0,0.3193359375
9.098179578781128,0.01,0.0,0.3046875
9.147384643554688,0.01,0.0,0.3134765625
9.196921586990356,0.01,0.0,0.322265625
9.246914148330688,0.01,0.0,0.3193359375
9.296864986419678,0.01,0.0,0.31640625
9.353022813796997,0.01,0.0,0.3134765625
9.396493434906006,0.01,0.0,0.3251953125
9.446433782577515,0.01,0.0,0.3251953125
9.496323347091675,0.01,0.0,0.3193359375
9.547379970550537,0.01,0.0,0.31640625
9.595037698745728,0.01,0.0,0.31640625
9.643918752670288,0.01,0.0,0.3193359375
9.693981170654297,0.01,0.0,0.31640625
9.759411334991455,0.01,0.0,0.31640625
9.79444694519043,0.01,0.0,0.31640625
9.843644380569458,0.01,0.0,0.328125
9.910766839981079,0.01,0.0,0.3134765625
9.96034026145935,0.01,0.0,0.31640625
